20
300
AG agente_genetico_labirinto.txt
E saida (10,9) False False 100
E parede (9,15) False True 0
E parede (10,15) False True 0
E parede (12,15) False True 0
E parede (19,15) False True 0
E parede (0,16) False True 0
E parede (6,16) False True 0
E parede (12,16) False True 0
E parede (13,16) False True 0
E parede (14,16) False True 0
E parede (15,16) False True 0
E parede (16,16) False True 0
E parede (17,16) False True 0
E parede (18,16) False True 0
E parede (19,16) False True 0
E parede (0,17) False True 0
E parede (2,17) False True 0
E parede (3,17) False True 0
E parede (4,17) False True 0
E parede (5,17) False True 0
E parede (6,17) False True 0
E parede (8,17) False True 0
E parede (9,17) False True 0
E parede (10,17) False True 0
E parede (11,17) False True 0
E parede (19,17) False True 0
E parede (0,18) False True 0
E parede (8,18) False True 0
E parede (19,18) False True 0
E parede (0,19) False True 0
E parede (1,19) False True 0
E parede (2,19) False True 0
E parede (3,19) False True 0
E parede (4,19) False True 0
E parede (5,19) False True 0
E parede (6,19) False True 0
E parede (7,19) False True 0
E parede (8,19) False True 0
E parede (9,19) False True 0
E parede (10,19) False True 0
E parede (11,19) False True 0
E parede (12,19) False True 0
E parede (13,19) False True 0
E parede (14,19) False True 0
E parede (15,19) False True 0
E parede (16,19) False True 0
E parede (17,19) False True 0
E parede (18,19) False True 0
E parede (19,19) False True 0
